masterid,x,y,lon,lat
"14",913553.959228531,123788.918640152,-74.2542230970329,40.5061652865183
"18",913844.414794952,123550.700622588,-74.2531761482346,40.505513732911
"19",913868.315612823,123836.428222671,-74.2530931707993,40.5062981897558
"22",913469.290832549,124077.418640152,-74.2545305775249,40.5069564885488
"23",913353.156982437,124359.71081543,-74.2549511521934,40.5077303991166
"25",913639.005004898,124341.204223648,-74.2539230309457,40.507681881061
"26",913894.559020996,124049.229614273,-74.2530010099633,40.5068824966778
"27",913929.66400148,124319.842590332,-74.2528775809958,40.5076255553787
"47",914832.253417969,121750.466430694,-74.2496054864759,40.500580216703
"51",914209.938781753,122562.903991699,-74.2518515307713,40.5028053130713
"52",914345.791626006,122589.380188003,-74.2513633041196,40.5028790562162
"53",914353.677429199,122374.442199722,-74.251332730778,40.502289154746
"54",914580.200622559,122647.926818848,-74.2505210170582,40.5030415986861
"55",914808.015197769,122709.38659668,-74.2497024681342,40.5032120794078
"56",914081.533630371,123595.818603531,-74.2523239488341,40.5056394510218
"57",914321.428222671,123638.846618682,-74.2514617431426,40.5057594481208
"59",914568.228820831,123683.439819351,-74.250574716689,40.5058837891005
"62",914812.966003418,123726.241394043,-74.24969508856,40.5060031894098
"63",914125.263793975,124054.272399932,-74.2521714430677,40.5068981641034
"64",914151.284240752,124303.694396988,-74.2520804540978,40.507582985005
"65",914247.179626495,124049,-74.2517329766369,40.5068846548813
"66",914484.548034683,124135.148193359,-74.2508802821546,40.5071229842603
"67",914406.021240249,124375.74798587,-74.2511651479295,40.5077827666905
"68",914398.088195831,124796.724792495,-74.2511980169393,40.5089382044358
"69",914638.917785645,124465.609985381,-74.2503285593199,40.5080312504421
"70",914721.315795913,124225.220214859,-74.250029781823,40.5073720727469
"71",914874.356811553,124556.282409668,-74.2494828297885,40.508281972427
"72",914957.991821304,124320.567810088,-74.2491796590082,40.5076356346446
"74",914050.073791519,125008.41400148,-74.2524517162803,40.5095165043465
"75",914158.528198257,125680.030212402,-74.2520686467262,40.5113608183161
"76",914354.751586944,125422.399414077,-74.2513603174874,40.5106552192634
"77",914304.262817383,125489.784423828,-74.2515425822647,40.5108397802866
"78",914345.726013198,125817.474182144,-74.2513968529931,40.5117395520271
"79",914414.961425796,125867.867797852,-74.2511483825341,40.5118784178787
"80",914659.609985381,125029.864196777,-74.250259945506,40.5095801817646
"81",914541.791992202,125548.639404297,-74.2506889776052,40.5110031948521
"83",914737.155822784,125427.878417999,-74.2499851625415,40.5106732617421
"84",914974.559997573,125113.771423355,-74.2491281911563,40.5098129550968
"85",914911.2695923,125200.953002945,-74.2493566872278,40.5100517574249
"92",914397.891784698,126488.575195312,-74.2512161716711,40.5135820051556
"93",914495.893005386,126356.760986358,-74.2508623643321,40.5132209715849
"94",914542.139587402,126284.996215835,-74.2506953062609,40.5130243545945
"99",914817.884399429,126510.251403809,-74.249705940363,40.5136447982789
"101",914964.040405288,126559.304199219,-74.2491808089815,40.5137805810845
"112",915043.090209976,121807.282226562,-74.248847964776,40.5007378117115
"113",915290.674987823,121872.203186035,-74.2479583873042,40.5009179344382
"114",915536.69140625,121937.619812042,-74.2470744494328,40.5010993986345
"116",915051.170837417,122773.313598633,-74.2488287763364,40.5033894459727
"117",915299.460998565,122838.339782745,-74.247936628159,40.5035698628195
"118",915553.899414077,122905.701782256,-74.2470223906362,40.5037567316858
"119",915781.307189941,122003.042785659,-74.2461955431183,40.5012808626375
"120",915813.206604034,122971.686035186,-74.2460906266387,40.5039398491607
"121",915061.079223633,123777.081420898,-74.2488033992281,40.5061446733034
"123",915314.566040054,123834.256408706,-74.2478924471969,40.5063035802596
"124",915572.826599121,123897.914428726,-74.246964390191,40.5064803116045
"125",915819.131835938,123961.821838394,-74.2460793222461,40.5066576277922
"127",915274.372436553,124713.142395049,-74.2480459323876,40.5087156409632
"128",915356.226013198,124744.316833511,-74.2477518942071,40.5088018446152
"129",915592.629638672,124832.331787124,-74.2469026494968,40.5090452608155
"130",915827.888427734,124923.463439971,-74.2460575470904,40.5092972166402
"131",915135.083618164,125474.306030288,-74.2485545984766,40.5108038046868
"133",915211.803588912,125369.633789092,-74.2482776287614,40.5105170967705
"136",915434.739624053,125062.098388672,-74.2474727780087,40.5096747029454
"137",915655.926818848,125570.473388687,-74.2466824993732,40.5110718067529
"138",915015.728027374,126231.721984878,-74.248991571284,40.5128818347302
"139",915135.111022964,126308.309814468,-74.2485630105778,40.5130929841335
"144",915413.679992676,126487.978027359,-74.2475630037636,40.5135883039155
"146",915509.578613281,126551.429382339,-74.2472187597293,40.5137632090024
"148",915769.512634292,126768.60742189,-74.2462861312801,40.5143613304738
"166",916287.592224151,121151.997985855,-74.2443665470838,40.4989487981287
"167",916532.798400909,121218.611999527,-74.2434855507716,40.4991335151006
"168",916773.444213882,121281.735412598,-74.2426209121414,40.4993086096033
"169",916051.778991714,122069.397827148,-74.2452236701599,40.5014650769693
"170",916296.145385742,122129.00402832,-74.2443455924143,40.5016305589529
"171",916538.661193863,122189.725585952,-74.2434741757105,40.5017990815382
"172",916785.19940187,122254.37121585,-74.2425883301164,40.5019783989105
"173",916060.748840332,123035.169982925,-74.2452011376491,40.5041160058234
"174",916303.379638687,123098.362182647,-74.2443293019987,40.5042913171967
"175",916547.952636763,123162.567993164,-74.2434504879667,40.5044694189282
"176",916802.09582521,123228.257019043,-74.242537270559,40.5046516578065
"177",916061.851196319,124025.607604995,-74.2452071432616,40.5068345757138
"178",916192.884399459,124785.543823272,-74.244743580611,40.5089214604653
"181",916309.393432632,124091.047241241,-74.2443176330498,40.5070160934828
"183",916562.21099855,124156.116027862,-74.2434091440145,40.5071966266809
"184",916556.804199219,124878.903198242,-74.2434358102781,40.5091804974131
"186",916633.78900148,124576.741821289,-74.2431559454724,40.508351709391
"188",916809.490783691,124218.510803223,-74.2425205375776,40.5073697709556
"190",916053.143798843,125012.442993194,-74.2452483905858,40.5095431822701
"191",916037.602600127,125831.253601104,-74.2453125254846,40.5117905401665
"192",916125.066223159,125040.710632339,-74.2449900300265,40.5096213239126
"193",916472.640991226,125174.640808105,-74.2437414326515,40.5099915978776
"195",916798.198242188,125363.114807129,-74.2425725442139,40.510511403224
"196",916962.817199722,125473.577209488,-74.2419816361097,40.5108158509885
"198",916307.759399444,126033.290588379,-74.2443429912541,40.5123471652408
"199",916466.020202637,126151.817199737,-74.2437750217284,40.5126737082137
"200",916427.719787613,126917.718017593,-74.2439204327033,40.5147756653672
"201",916805.192810073,126413.063415527,-74.2425578456148,40.5133933629879
"203",916246.385009781,127174.318420425,-74.2445751700768,40.5154785960035
"205",916408.960021973,127333.409423843,-74.2439920653831,40.5159165144395
"208",916532.463806182,127279.610229492,-74.2435473451399,40.5157697894361
"221",917022.295410171,121342.650634781,-74.2417267436011,40.4994776986796
"222",917274.289611816,121408.034240738,-74.2408213136163,40.4996590693676
"223",917526.221618652,121474.34002687,-74.2399161114319,40.4998429636506
