intersection_id,year,pedestrian_death_or_injury,total_death_or_injury,leading_pedestrian_interval_post,turn_traffic_calming_type,turn_traffic_calming_post,speed_limit_post,slow_zones_post,enhanced_crossing_post,signal_retiming_post,speed_humps_post,street_improvement_project_post,street_improvement_corridors_post,nyc_metro_pop,citywide_traffic_summonses,nyc_metro_dvmt,pop_per_sqmi,ntaname,boro_name,covid_2020,covid_pre_post,time
50014.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50014.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50014.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50014.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
11568.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
11568.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
11568.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
11568.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50019.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50019.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50019.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50019.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50022.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50022.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50022.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50022.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50023.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50023.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50023.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50023.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50025.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50025.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50025.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50025.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50026.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50026.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50026.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50026.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50027.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50027.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50027.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50027.0,2016,0.0,1.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
10460.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
10460.0,2014,0.0,2.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
10460.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
10460.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50057.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50057.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50057.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50057.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50059.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50059.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
